"Date","Time","Open","High","Low","Close","Total Ticks"
01-03-2013,22:00:00,1.04672,1.04879,1.03947,1.048,51704
01-06-2013,22:00:00,1.048,1.05132,1.04677,1.05028,44484
01-07-2013,22:00:00,1.05028,1.0517,1.04698,1.05042,44932
01-08-2013,22:00:00,1.05042,1.05354,1.0487,1.05155,47634
01-09-2013,22:00:00,1.05155,1.05994,1.04941,1.05984,53760
01-10-2013,22:00:00,1.05984,1.06017,1.05309,1.0542,47682
01-13-2013,22:00:00,1.0542,1.05778,1.05218,1.05656,40975
01-14-2013,22:00:00,1.05656,1.05702,1.05262,1.05656,47507
01-15-2013,22:00:00,1.05656,1.05804,1.05322,1.05731,47686
01-16-2013,22:00:00,1.05731,1.05769,1.04941,1.05484,55022
01-17-2013,22:00:00,1.05484,1.05595,1.04859,1.0508,54419
01-20-2013,22:00:00,1.0508,1.05258,1.04933,1.05171,29408
01-21-2013,22:00:00,1.05171,1.05788,1.0505,1.05665,53436
01-22-2013,22:00:00,1.05665,1.05777,1.05277,1.0556,43739
01-23-2013,22:00:00,1.0556,1.05572,1.04448,1.04515,54475
01-24-2013,22:00:00,1.04515,1.0469,1.04034,1.04242,48726
01-27-2013,22:00:00,1.04242,1.04297,1.03847,1.04178,38884
01-28-2013,22:00:00,1.04178,1.04776,1.04062,1.04742,44451
01-29-2013,22:00:00,1.04742,1.04769,1.03995,1.04161,43567
01-30-2013,22:00:00,1.04161,1.04512,1.03804,1.04262,49497
01-31-2013,22:00:00,1.04262,1.04461,1.03613,1.04085,51951
02-02-2013,22:00:00,1.04085,1.04308,1.04085,1.04308,139
02-03-2013,22:00:00,1.04308,1.04425,1.04093,1.04387,37792
02-04-2013,22:00:00,1.04387,1.04608,1.03707,1.03904,53920
02-05-2013,22:00:00,1.03904,1.04005,1.02969,1.03205,52677
02-06-2013,22:00:00,1.03205,1.03386,1.02736,1.02842,59277
02-07-2013,22:00:00,1.02842,1.03483,1.02559,1.03218,50866
02-09-2013,22:00:00,1.03218,1.03261,1.03048,1.03158,333
02-10-2013,22:00:00,1.03158,1.03252,1.02519,1.02551,36949
02-11-2013,22:00:00,1.02551,1.03216,1.02274,1.03058,48617
02-12-2013,22:00:00,1.03058,1.03748,1.03054,1.03748,44501
02-13-2013,22:00:00,1.03748,1.03748,1.03269,1.03611,45468
02-14-2013,22:00:00,1.03611,1.03749,1.02878,1.03076,46074
02-16-2013,22:00:00,1.03076,1.03076,1.02909,1.02923,292
02-17-2013,22:00:00,1.02923,1.03153,1.02755,1.03062,31050
02-18-2013,22:00:00,1.03062,1.03678,1.03018,1.03568,45461
02-19-2013,22:00:00,1.03568,1.03675,1.02379,1.02583,51604
02-20-2013,22:00:00,1.02583,1.02647,1.02215,1.0248,53455
02-21-2013,22:00:00,1.0248,1.03408,1.02367,1.03231,52200
02-23-2013,22:00:00,1.03231,1.03353,1.03038,1.03071,803
02-24-2013,22:00:00,1.03071,1.03284,1.02514,1.02592,70567
02-25-2013,22:00:00,1.02592,1.02926,1.02008,1.02295,78850
02-26-2013,22:00:00,1.02295,1.02461,1.01835,1.0235,67283
02-27-2013,22:00:00,1.0235,1.02902,1.01967,1.02152,63471
02-28-2013,22:00:00,1.02152,1.02419,1.01825,1.02056,59300
03-03-2013,22:00:00,1.02056,1.02057,1.01156,1.01958,52107
03-04-2013,22:00:00,1.01958,1.0263,1.01882,1.02576,57197
03-05-2013,22:00:00,1.02576,1.03013,1.02329,1.02368,49171
03-06-2013,22:00:00,1.02368,1.02902,1.02195,1.02684,55341
03-07-2013,22:00:00,1.02684,1.02856,1.02115,1.02354,47743
03-09-2013,22:00:00,1.02354,1.02354,1.02044,1.02059,49
03-10-2013,21:00:00,1.02059,1.02843,1.02045,1.02813,34204
03-11-2013,21:00:00,1.02813,1.03356,1.0267,1.03246,48881
03-12-2013,21:00:00,1.03246,1.03343,1.02827,1.02998,50483
03-13-2013,21:00:00,1.02998,1.04014,1.02879,1.03848,58167
03-14-2013,21:00:00,1.03848,1.04145,1.03615,1.04096,44478
03-16-2013,21:00:00,1.04096,1.04096,1.03561,1.03637,184
03-17-2013,21:00:00,1.03637,1.04098,1.03446,1.04006,52703
03-18-2013,21:00:00,1.04006,1.04073,1.03514,1.03718,51311
03-19-2013,21:00:00,1.03718,1.04058,1.03554,1.03783,48475
03-20-2013,21:00:00,1.03783,1.04584,1.03635,1.04415,48720
03-21-2013,21:00:00,1.04415,1.04604,1.04213,1.04482,38208
03-23-2013,21:00:00,1.04482,1.04486,1.0438,1.04438,131
03-24-2013,21:00:00,1.04438,1.04798,1.04331,1.04651,49109
03-25-2013,21:00:00,1.04651,1.04973,1.04475,1.04868,42121
03-26-2013,21:00:00,1.04868,1.04879,1.0418,1.04443,39628
03-27-2013,21:00:00,1.04443,1.04579,1.03971,1.04118,41617
03-28-2013,21:00:00,1.04118,1.04278,1.04037,1.04224,21166
03-30-2013,21:00:00,1.04224,1.04241,1.04176,1.04241,38
03-31-2013,21:00:00,1.04241,1.04317,1.03864,1.04232,21864
04-01-2013,21:00:00,1.04232,1.04796,1.04219,1.04505,36768
04-02-2013,21:00:00,1.04505,1.04977,1.04466,1.04613,37528
04-03-2013,21:00:00,1.04613,1.04915,1.03862,1.04351,60404
04-04-2013,21:00:00,1.04351,1.04409,1.03553,1.03892,56791
04-06-2013,21:00:00,1.03892,1.03901,1.03636,1.03702,228
04-07-2013,21:00:00,1.03702,1.04236,1.03481,1.04129,43959
04-08-2013,21:00:00,1.04129,1.05098,1.04059,1.04892,52182
04-09-2013,21:00:00,1.04892,1.05521,1.04754,1.05439,47255
